model,Asset_ID,rows,rmse,mae,pearson_ic,direction_accuracy,decile_target_spread
Zero Baseline,0,3886,0.002262803189467014,0.0014142874861136079,,,
Zero Baseline,1,3888,0.0012438953282549298,0.000880118110217154,,,
Zero Baseline,2,3888,0.0025232960906613378,0.0014764065854251385,,,
Zero Baseline,3,3888,0.0034502493573525745,0.0022376200649887323,,,
Zero Baseline,4,3888,0.002875803754689591,0.001691454672254622,,,
Zero Baseline,5,3888,0.0029613250648860496,0.001852713292464614,,,
Zero Baseline,6,3888,0.001754477402886601,0.0012419667327776551,,,
Zero Baseline,7,3888,0.0025042301783268317,0.001662892522290349,,,
Zero Baseline,8,3885,0.007247163833021938,0.004790846258401871,,,
Zero Baseline,9,3888,0.00451874843041487,0.0021245209500193596,,,
Zero Baseline,10,3872,0.004628759855408028,0.0030183810740709305,,,
Zero Baseline,11,3886,0.0040241955461422785,0.0027211783453822136,,,
Zero Baseline,12,3888,0.0028743788194527313,0.0018458421109244227,,,
Zero Baseline,13,3888,0.003798386272978959,0.0023332617711275816,,,
Linear Regression,0,3886,0.0022638698685290646,0.0014139792183414102,0.010921567411095323,0.5100360267627381,3.7469777453225106e-05
Linear Regression,1,3888,0.0012468333873103263,0.0008803477394394577,-0.01033372298436542,0.5131172839506173,0.00013914181909058243
Linear Regression,2,3888,0.002522994204813265,0.0014754636213183403,0.02234099824364805,0.5149176954732511,0.00020005925034638494
Linear Regression,3,3888,0.0034559967744749605,0.0022391467355191708,-0.028824994242569315,0.4984567901234568,-0.0003617442271206528
Linear Regression,4,3888,0.0028638596776642553,0.0017059034435078502,0.20164699068945816,0.466820987654321,0.0013999284710735083
Linear Regression,5,3888,0.002958525686378498,0.0018503618193790317,0.04564404660759913,0.5126028806584362,0.0005651161773130298
Linear Regression,6,3888,0.0017578758184466432,0.0012444020248949528,-0.01587846333846981,0.4940843621399177,-0.00032887759152799845
Linear Regression,7,3888,0.0025069851337549648,0.0016704885056242347,0.01989432479617495,0.4853395061728395,0.000653086812235415
Linear Regression,8,3885,0.007244958270470722,0.004792421590536833,0.022746323834367678,0.4924066924066924,0.00010569707956165075
Linear Regression,9,3888,0.004520342621022409,0.002120881574228406,-0.0010074282126392594,0.522633744855967,0.000571786193177104
Linear Regression,10,3872,0.004628320684408118,0.0030205564107745886,0.03231618840954853,0.4912190082644628,0.0003056576242670417
Linear Regression,11,3886,0.004021059160542824,0.0027169419918209314,0.04988271036792817,0.5177560473494596,0.0005957653047516942
